limbs,fft_ns,fft_ns_per_limb,mpn_ns,mpn_ns_per_limb,fft_N,fft_M
16,210.3,13.145,123.1,7.696,64,1
17,332.2,19.543,136.7,8.041,80,5
19,336.3,17.698,169.1,8.898,80,5
21,403.9,19.233,199.0,9.477,96,3
23,400.6,17.419,243.9,10.603,96,3
25,390.3,15.613,296.0,11.841,128,1
27,410.3,15.197,345.8,12.809,128,1
29,397.8,13.716,308.2,10.626,128,1
32,400.2,12.507,358.2,11.194,128,1
35,655.7,18.735,433.0,12.370,160,5
38,662.5,17.435,502.0,13.212,160,5
41,752.0,18.343,584.0,14.244,192,3
45,770.0,17.111,711.1,15.802,192,3
49,797.8,16.282,838.3,17.108,256,1
53,804.7,15.182,986.6,18.614,256,1
58,813.0,14.017,934.6,16.113,256,1
63,811.2,12.876,1068.6,16.962,256,1
69,1265.9,18.347,1277.9,18.521,320,5
75,1292.8,17.237,1508.5,20.114,320,5
82,1484.9,18.109,1648.4,20.102,384,3
89,1489.9,16.741,1836.3,20.632,384,3
97,1656.0,17.072,2121.9,21.876,512,1
106,1648.4,15.551,2495.3,23.540,512,1
116,1693.9,14.602,2919.0,25.163,512,1
126,1726.2,13.700,3414.1,27.096,512,1
137,2614.1,19.081,4037.0,29.467,640,5
149,2635.6,17.688,4729.7,31.743,640,5
162,3083.4,19.033,5093.0,31.438,768,3
177,3121.0,17.633,5244.1,29.628,768,3
193,3608.8,18.699,6205.3,32.152,1024,1
210,3579.4,17.045,7103.0,33.824,1024,1
229,3615.9,15.790,8403.0,36.694,1024,1
250,3655.2,14.621,8854.4,35.418,1024,1
273,5275.1,19.323,10530.5,38.573,1280,5
298,5288.3,17.746,12181.4,40.877,1280,5
325,6384.8,19.646,12862.5,39.577,1536,3
354,6429.4,18.162,14493.8,40.943,1536,3
386,7480.2,19.379,17101.2,44.304,2048,1
421,7552.6,17.940,19499.7,46.318,2048,1
459,7622.0,16.606,22697.4,49.450,2048,1
501,7706.4,15.382,23823.2,47.551,2048,1
546,11172.5,20.462,28310.7,51.851,2560,5
595,11275.4,18.950,32011.3,53.801,2560,5
649,13689.9,21.094,35524.7,54.738,3072,3
708,13628.0,19.249,38530.0,54.421,3072,3
772,16229.5,21.023,44071.6,57.088,4096,1
842,16610.5,19.727,51404.4,61.050,4096,1
918,16782.9,18.282,58311.9,63.521,4096,1
1001,16946.5,16.930,68457.1,68.389,4096,1
1092,23593.6,21.606,77476.2,70.949,5120,5
1191,23455.1,19.694,89551.6,75.190,5120,5
1299,28227.6,21.730,92805.0,71.443,6144,3
1417,28615.4,20.194,103599.0,73.111,6144,3
1545,34109.1,22.077,118332.2,76.590,8192,1
1685,33942.8,20.144,135144.3,80.204,8192,1
1838,34747.9,18.905,158912.2,86.459,8192,1
2004,35095.8,17.513,168489.5,84.077,8192,1
2185,48902.4,22.381,196174.9,89.783,10240,5
2383,49423.9,20.740,224627.5,94.262,10240,5
2599,60684.0,23.349,241107.2,92.769,12288,3
2834,60192.4,21.239,272913.0,96.300,12288,3
3090,69865.5,22.610,308493.0,99.836,14336,7
3370,70492.4,20.918,351384.7,104.268,14336,7
3675,73024.1,19.871,400897.8,109.088,16384,1
4008,73574.7,18.357,426718.9,106.467,16384,1
4371,108577.5,24.840,511288.3,116.973,20480,5
4767,111734.3,23.439,580966.7,121.873,20480,5
5198,128738.4,24.767,613558.2,118.037,24576,3
5668,128166.6,22.612,670533.4,118.302,24576,3
6181,152800.5,24.721,760567.0,123.049,28672,7
6740,154487.8,22.921,878133.5,130.287,28672,7
7350,155486.2,21.155,983424.9,133.799,32768,1
8015,158999.4,19.838,1158035.9,144.484,32768,1
8740,218377.1,24.986,1335239.8,152.773,40960,5
9531,219579.9,23.038,1534615.4,161.013,40960,5
10394,267966.4,25.781,1597102.0,153.656,49152,3
11335,270493.7,23.864,1775150.4,156.608,49152,3
12361,314812.4,25.468,1683264.8,136.175,57344,7
13480,313324.6,23.244,1864500.6,138.316,57344,7
14700,352614.5,23.987,1832720.0,124.675,65536,1
16030,354632.1,22.123,2440308.5,152.234,65536,1
