target_N,limbs,trunk_bits,fft_N,fft_branch,fft_M,fft_ns,fft_ns_per_limb,mpn_ns,mpn_ns_per_limb,speedup
8,2,16,8,8,1,89.5,44.740772,24.0,12.004754,0.268318
12,3,16,12,4,3,163.0,54.346811,28.0,9.320709,0.171504
16,4,16,16,16,1,113.8,28.461891,26.9,6.718370,0.236048
21,5,16,20,4,5,402.4,80.473989,48.3,9.665712,0.120110
25,6,16,24,8,3,304.9,50.815625,67.8,11.292950,0.222234
29,7,16,32,32,1,170.4,24.342064,40.3,5.757023,0.236505
32,8,16,32,32,1,172.2,21.519732,45.4,5.679347,0.263913
38,9,16,40,8,5,287.5,31.945714,52.6,5.842468,0.182887
41,10,16,40,8,5,303.9,30.392297,58.1,5.808576,0.191120
45,11,16,48,16,3,297.6,27.055362,72.2,6.566598,0.242710
49,12,16,48,16,3,298.5,24.872842,76.3,6.357622,0.255605
54,13,16,64,64,1,284.9,21.916316,88.8,6.831484,0.311708
59,14,16,64,64,1,328.5,23.464866,104.9,7.489590,0.319183
64,16,16,64,64,1,296.9,18.554087,124.7,7.792691,0.419999
70,17,16,80,16,5,459.2,27.011141,216.5,12.735523,0.471492
76,19,16,80,16,5,514.1,27.058529,191.8,10.092991,0.373006
83,20,16,80,16,5,533.9,26.693408,193.4,9.670748,0.362290
91,22,16,96,32,3,547.6,24.889219,361.4,16.426049,0.659966
99,24,16,96,32,3,929.1,38.710764,267.3,11.135556,0.287660
108,27,16,128,128,1,567.7,21.024404,345.6,12.799451,0.608790
117,29,16,128,128,1,570.0,19.654268,392.4,13.532528,0.688529
128,32,16,128,128,1,759.5,23.734695,359.5,11.234470,0.473335
140,35,16,160,32,5,936.1,26.745010,1068.4,30.525061,1.141337
152,38,16,160,32,5,934.6,24.595991,562.5,14.801766,0.601796
166,41,16,192,64,3,1279.4,31.204073,620.7,15.138108,0.485132
181,45,16,192,64,3,1056.9,23.486365,813.9,18.087768,0.770139
197,49,16,256,256,1,1154.9,23.569508,1030.8,21.037411,0.892569
215,53,16,256,256,1,1190.2,22.457320,1043.5,19.688556,0.876710
235,58,16,256,256,1,1364.1,23.518687,943.7,16.270128,0.691796
256,64,16,256,256,1,1205.3,18.832897,1257.9,19.654963,1.043651
279,69,16,320,64,5,1736.5,25.167283,1281.0,18.565635,0.737689
304,76,16,320,64,5,1813.9,23.867371,1645.6,21.652398,0.907197
332,83,16,384,128,3,1950.0,23.493506,2310.7,27.839937,1.185006
362,90,16,384,128,3,2030.8,22.564162,2009.7,22.329730,0.989610
395,98,16,512,512,1,2270.7,23.170481,2158.1,22.021762,0.950423
431,107,16,512,512,1,2374.4,22.190597,2542.9,23.765049,1.070951
